Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
Maroulio S;;9493511;Liberia;bulk carrier;Panamax, 60'-100'dwt;2010;Live;Stefanou family;Greece;;;Bright Navigation Incorporated;Greece;;;Vitali Shipping SA;Liberia;;;Neptune Tradebulk Incorporated;Greece;;;Neptune Tradebulk Incorporated;Greece;;;-;-;;;225.00;19.60;19.60;0.00;
Mont Blanc I;;9561930;Panama;product tanker;Panamax (LR 1), 45'-80'dwt;2012;Live;Sea Trade Marine Holding Group SA;Panama;;;Silk Searoad Maritime SA;Panama;;;Levante Shipping Ventures S.A.;Panama;;;International Tanker Management (ITM) Limited;United Arab Emirates;;;International Tanker Management (ITM) Limited;United Arab Emirates;;;Maersk Tankers MR K/S;Denmark;;;181.54;18.70;12.17;6.53;
Shaman Wisdom;;9563407;Marshall Islands;bulk carrier;Handymax, 35'-50'dwt;2010;Live;Beyaz Denizcilik Limited Sirketi;Turkiye;;;Beyaz Denizcilik Limited Sirketi;Turkiye;;;Wisdom Sea Service Limited;Marshall Islands;;;Beyaz Denizcilik Limited Sirketi;Turkiye;;;Beyaz Denizcilik Limited Sirketi;Turkiye;;;-;-;;;179.90;15.00;10.00;5.00;
West Elara;;8769949;Norway;drill platform;Offshore;2011;Live;Seadrill Limited;United Kingdom;;;North Atlantic Management AS;Norway;;;North Atlantic Elara Limited;Bermuda;;;Seadrill Americas Incorporated;United States of America;;;Seadrill Americas Incorporated;United States of America;;;Conocophillips Norway;-;;;88.60;12.00;8.00;4.00;
Rowan Norway;;8770077;Marshall Islands;drill platform;Offshore;2011;Live;Valaris Limited;Bermuda;;;Valaris Limited;Bermuda;;;Rowan Rigs S.a.r.l.;Luxembourg;;;ENSCO International Incorporated;United States of America;;;ENSCO International Incorporated;United States of America;;;ConocoPhillips;United States of America;;;80.47;10.67;7.32;3.35;
N- Sea Pathfinder;;9545663;Netherlands;diving support;Offshore;2010;Live;Hanzevast Capital N.V.;Netherlands;;;Hanzevast Shipping B.V.;Netherlands;;;General Partner ms Hanze Pathfinder B.V.;Netherlands;;;-;-;;;-;-;;;-;-;;;61.87;5.50;4.65;0.85;
Agath;;9537642;Cyprus;Combined chemical and oil tanker;5'-10'dwt;2020;Live;Unibaltic sp. z.o.o.;Poland;;;Unibaltic Shipping Limited;Cyprus;;;Bluether Shipping Company Limited;Cyprus;;;Unibaltic Shipping Limited;Cyprus;;;-;-;;;-;-;;;121.60;8.00;6.40;1.60;
Havila Heroy;;9455832;Norway;supply;Offshore;2009;Live;Havila Holding AS;Norway;;;Havila Shipping ASA;Norway;;;Havila Ships AS;Norway;;;Havila Shipping ASA;Norway;;;Havila Shipping ASA;Norway;;;-;-;;;80.40;7.70;6.46;1.25;
MIA Maria;;9518218;Cyprus;general cargo with container capacity;-5'dwt;2012;Live;UAB Juru Agentura 'Forsa';Republic of Lithuania;;;UAB Juru Agentura 'Forsa';Republic of Lithuania;;;Irving Management Limited;Cyprus;;;UAB Juru Agentura 'Forsa';Republic of Lithuania;;;UAB Juru Agentura 'Forsa';Republic of Lithuania;;;-;-;;;88.60;7.00;5.42;1.58;
Eems River;;9528524;Netherlands;general cargo with container capacity;-5'dwt;2012;Live;Redereij Chris Kornet en Zonen B.V.;Netherlands;;;Redereij Chris Kornet en Zonen B.V.;Netherlands;;;RIVER BV;Netherlands;;;Eems Werken B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;Eems Werken B.V.;Netherlands;;;89.92;8.00;5.30;2.70;
